Rk,Player,Team,Salary_2019_to_20,Salary_2020_to_21,Salary_2021_to_22,Salary_2022_to_23,Salary_2023_to_24,Salary_2024_to_25,Signed Using,Guaranteed,Salary_Per_Million
438,Carsen Edwards,Boston Celtics,1228026,1517981,1782621,1930681,,,Cap space,4528628,1.228026
439,Cody Martin,Charlotte Hornets,1173310,1517981,1782621,,,,MLE,4473912,1.17331
440,Gary Payton,Washington Wizards,1090781,,,,,,Minimum Salary,1090781,1.090781
441,George Hill,Milwaukee Bucks,1000000,,,,,,,21000000,1
442,Terance Mann,LA Clippers,1000000,1517984,1782621,1930681,,,Minimum Salary,2517984,1
443,Jonathon Simmons,Washington Wizards,1000000,,,,,,,1000000,1
444,Justin Hamilton,Toronto Raptors,1000000,,,,,,,1000000,1
445,Kyle Singler,Oklahoma City Thunder,999200,999200,999200,999200,,,,3996800,0.9992
446,Marvin Williams,Milwaukee Bucks,956349,,,,,,Minimum Salary,956349,0.956349
447,Admiral Schofield,Washington Wizards,898310,1517981,1782621,,,,MLE,4198912,0.89831
448,KZ Okpala,Miami Heat,898310,1517981,1782621,,,,MLE,4198912,0.89831
449,Eric Paschall,Golden State Warriors,898310,1517981,1782621,,,,MLE,4198912,0.89831
450,Nicolas Claxton,Brooklyn Nets,898310,1517981,1782621,,,,Minimum Salary,4198912,0.89831
451,Justin James,Sacramento Kings,898310,1517981,1782621,,,,Minimum Salary,2416291,0.89831
452,Jalen Lecque,Phoenix Suns,898310,1517981,1782621,1930681,,,Cap Space,2416291,0.89831
453,Ignas Brazdeikis,New York Knicks,898310,1517981,1782621,,,,Minimum Salary,2416291,0.89831
454,Talen Horton-Tucker,LA Lakers,898310,1517981,,,,,Minimum Salary,2416291,0.89831
455,Daniel Gafford,Chicago Bulls,898310,1517981,1782621,1930681,,,Minimum Salary,2416291,0.89831
456,Alen Smailagić,Golden State Warriors,898310,1517981,1782621,1930681,,,MLE,2415891,0.89831
457,Matt Thomas,Toronto Raptors,898310,1517981,1782621,,,,MLE,1623310,0.89831
458,Miye Oni,Utah Jazz,898310,1517981,1782621,,,,Minimum Salary,898310,0.89831
459,Dewan Hernandez,Toronto Raptors,898310,1517981,1782621,,,,MLE,898310,0.89831
460,Terence Davis,Toronto Raptors,898310,1517981,,,,,Minimum Salary,898310,0.89831
461,Wenyen Gabriel,Portland Trailblazers,898310,,,,,,Minimum Salary,898310,0.89831
462,Naz Reid,Minnesota Timberwolves,898310,1517981,1782621,1930681,,,MLE,898310,0.89831
463,Jalen McDaniels,Charlotte Hornets,898310,1517981,1782621,1930681,,,Minimum Salary,898310,0.89831
464,Caleb Martin,Charlotte Hornets,898310,1517981,1782621,,,,Minimum Salary,898310,0.89831
465,Shaquille Harrison,Chicago Bulls,898310,,,,,,Minimum Salary,898310,0.89831
466,Javonte Green,Boston Celtics,898310,1517981,,,,,Minimum Salary,898310,0.89831
467,Damion Lee,Golden State Warriors,842327,1762796,1910860,,,,MLE,1442327,0.842327
468,Khyri Thomas,Detroit Pistons,838464,1663861,,,,,MLE,838464,0.838464
469,DeMarre Carroll,Houston Rockets,811447,,,,,,Minimum Salary,811447,0.811447
470,Michael Kidd-Gilchrist,Dallas Mavericks,810763,,,,,,Minimum Salary,810763,0.810763
471,Marquese Chriss,Golden State Warriors,758804,,,,,,,2213272,0.758804
472,Juwan Morgan,Utah Jazz,746054,,,,,,Minimum Salary,746054,0.746054
473,Patrick Patterson,Oklahoma City Thunder,737067,737067,737066,,,,,2211200,0.737067
474,Reggie Jackson,LA Clippers,734025,,,,,,Minimum Salary,734025,0.734025
475,Alfonzo McKinnie,Cleveland Cavaliers,708871,,,,,,,2253031,0.708871
476,Gary Clark,Houston Rockets,708426,,,,,,,708426,0.708426
477,Jeff Green,Houston Rockets,695526,,,,,,Minimum Salary,840427,0.695526
478,Cole Aldrich,Minnesota Timberwolves,685340,685340,,,,,,1370680,0.68534
479,Shaun Livingston,Golden State Warriors,666667,666667,666666,,,,,2666666,0.666667
480,Marquese Chriss,Golden State Warriors,654468,1824003,,,,,Minimum Salary,2213272,0.654468
481,Timothé Luwawu-Cabarrot,Brooklyn Nets,654468,1824003,,,,,Minimum Salary,844170,0.654468
482,Rayjon Tucker,Utah Jazz,578573,1517981,,,,,Minimum Salary,578574,0.578573
483,Chris Cleveland Cavaliersmons,Houston Rockets,568422,1517981,1782621,,,,MLE,568422,0.568422
484,Gary Clark,Orlando Magic,555409,,,,,,Minimum Salary,718765,0.555409
485,Brandon Goodwin,Atlanta Hawks,522738,1701593,,,,,Minimum Salary,522738,0.522738
486,Dion Waiters,LA Lakers,503656,,,,,,Minimum Salary,503656,0.503656
487,Ryan Anderson,Houston Rockets,500000,,,,,,,500000,0.5
488,Anžejs Pasečņiks,Washington Wizards,482144,,,,,,Minimum Salary,482144,0.482144
489,Troy Daniels,Denver Nuggets,481000,,,,,,Minimum Salary,481000,0.481
490,Chris Silva,Miami Heat,466918,1517981,1782621,,,,MLE,1984899,0.466918
491,Dakari Johnson,Memphis Grizzlies,459414,459414,,,,,,918828,0.459414
492,Iman Shumpert,Brooklyn Nets,419443,,,,,,,419443,0.419443
493,Max Strus,Boston Celtics,415414,,,,,,,415414,0.415414
494,Justin Robinson,Washington Wizards,395866,,,,,,,395866,0.395866
495,Ivan Rabb,Memphis Grizzlies,371758,,,,,,,371758,0.371758
496,Norvel Pelle,Philadelphia 76ers,350189,,,,,,Minimum Salary,350189,0.350189
497,Ky Bowman,Golden State Warriors,350189,1517981,1782621,,,,MLE,350189,0.350189
498,Juan Toscano-Anderson,Golden State Warriors,350189,1517981,1782621,,,,MLE,350189,0.350189
499,A.J. Hammons,Miami Heat,350087,350087,,,,,,700174,0.350087
500,Festus Ezeli,Portland Trailblazers,333333,,,,,,,333333,0.333333
501,C.J. Watson,Orlando Magic,333333,,,,,,,333333,0.333333
502,Stanton Kidd,Utah Jazz,250000,,,,,,,250000,0.25
503,Joe Johnson,Detroit Pistons,220000,,,,,,,220000,0.22
504,Jemerrio Jones,Washington Wizards,199000,,,,,,,199000,0.199
505,Jontay Porter,Memphis Grizzlies,197933,1517981,,,,,Minimum Salary,197933,0.197933
